0,0,0,0,2,2,1,1,1,28,28,28,28,28,28,28,28,28,28,18,18,18,25,25,25,25,25,25,19,19,19,25
3,3,3,0,2,2,2,25,25,25,25,25,25,25,25,25,25,25,25,18,18,28,28,28,28,28,28,28,19,19,25,25
3,3,3,3,2,2,2,25,25,25,25,25,25,25,25,25,25,25,25,17,17,25,25,25,25,25,25,25,19,19,25,25
3,25,3,3,4,4,4,25,25,25,25,25,25,25,25,25,25,25,17,17,17,25,25,25,25,25,25,19,19,19,19,25
5,25,25,4,4,4,4,27,25,25,25,25,25,25,25,25,25,17,17,17,17,25,25,25,25,25,25,19,20,20,20,20
5,5,25,4,4,4,4,25,27,25,25,25,9,9,25,12,12,12,12,17,16,16,16,16,25,25,25,20,20,20,20,20
5,5,25,25,4,4,4,25,25,27,25,9,9,9,12,12,12,12,12,16,16,16,16,25,25,25,25,20,20,20,20,20
5,5,25,25,25,4,4,25,25,25,9,9,9,9,12,12,12,12,12,12,16,16,16,25,21,21,20,20,20,20,20,20
6,6,25,25,25,25,25,25,25,25,25,9,9,9,12,12,12,12,12,12,15,15,15,25,21,21,21,20,20,25,20,20
6,6,25,25,25,25,25,25,25,25,25,10,10,10,12,12,12,12,12,12,15,15,21,21,21,21,21,20,25,25,25,20
6,6,6,25,25,25,25,25,25,25,25,10,10,10,10,12,12,12,12,15,15,15,21,21,21,21,25,25,25,25,25,25
6,6,6,25,25,25,25,25,25,25,26,10,10,10,10,12,12,12,12,15,15,15,15,21,21,21,25,25,25,22,22,25
25,25,27,25,25,25,25,25,25,26,25,11,11,11,13,13,13,13,13,13,13,25,25,25,25,25,27,25,22,22,22,25
25,25,25,27,25,7,7,8,8,25,25,11,11,11,13,13,13,13,13,13,13,25,25,25,25,25,25,27,22,22,25,25
25,25,25,25,27,7,7,8,8,25,25,25,11,25,25,25,25,14,14,14,14,25,25,25,25,25,25,25,22,22,25,25
25,25,25,25,25,7,7,7,8,25,25,25,25,27,25,24,25,14,14,14,14,25,25,25,25,25,25,22,22,23,25,25
25,25,25,25,25,7,7,7,8,25,25,25,25,25,24,24,25,25,14,14,25,25,25,25,25,25,23,23,23,23,25,25
25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,25,25,25,25,25,25,25,25,25,23,23,23,23,23,23,23
25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23
25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23

